station,category,location_x,location_y,year,crime_count
Bethal,Arson,29.46955,-26.46098,2005,3
Bethal,Robbery at residential premises,29.46955,-26.46098,2005,0
Bethal,Shoplifting,29.46955,-26.46098,2005,60
Bethal,Commercial crime,29.46955,-26.46098,2005,25
Bethal,Attempted murder,29.46955,-26.46098,2005,2
Bethal,Sexual Offences,29.46955,-26.46098,2005,26
Blinkpan,Robbery with aggravating circumstances,29.45108,-26.09934,2005,27
Blinkpan,Theft out of or from motor vehicle,29.45108,-26.09934,2005,17
Blinkpan,Common robbery,29.45108,-26.09934,2005,16
Blinkpan,Drug-related crime,29.45108,-26.09934,2005,5
Blinkpan,Burglary at residential premises,29.45108,-26.09934,2005,72
Blinkpan,Robbery at residential premises,29.45108,-26.09934,2005,0
Blinkpan,Common assault,29.45108,-26.09934,2005,130
Blinkpan,Burglary at non-residential premises,29.45108,-26.09934,2005,12
Blinkpan,Murder,29.45108,-26.09934,2005,3
Blinkpan,Assault with the intent to inflict grievous bodily harm,29.45108,-26.09934,2005,86
Blinkpan,Attempted murder,29.45108,-26.09934,2005,3
Blinkpan,Carjacking,29.45108,-26.09934,2005,0
Blinkpan,Robbery at non-residential premises,29.45108,-26.09934,2005,2
Blinkpan,Illegal possession of firearms and ammunition,29.45108,-26.09934,2005,5
Blinkpan,Arson,29.45108,-26.09934,2005,1
Blinkpan,Theft of motor vehicle and motorcycle,29.45108,-26.09934,2005,12
Blinkpan,Truck hijacking,29.45108,-26.09934,2005,0
Blinkpan,Bank robbery,29.45108,-26.09934,2005,0
Blinkpan,Shoplifting,29.45108,-26.09934,2005,1
Blinkpan,Robbery of cash in transit,29.45108,-26.09934,2005,0
Blinkpan,All theft not mentioned elsewhere,29.45108,-26.09934,2005,356
Blinkpan,Sexual Offences,29.45108,-26.09934,2005,31
Blinkpan,Sexual offences as result of police action,29.45108,-26.09934,2005,0
Blinkpan,Commercial crime,29.45108,-26.09934,2005,6
Blinkpan,Stock-theft,29.45108,-26.09934,2005,7
Blinkpan,Driving under the influence of alcohol or drugs,29.45108,-26.09934,2005,8
Blinkpan,Malicious damage to property,29.45108,-26.09934,2005,46
Breyten,Robbery at residential premises,29.98664,-26.30226,2005,0
Breyten,Shoplifting,29.98664,-26.30226,2005,3
Breyten,Carjacking,29.98664,-26.30226,2005,0
Breyten,Commercial crime,29.98664,-26.30226,2005,4
Breyten,All theft not mentioned elsewhere,29.98664,-26.30226,2005,80
Breyten,Arson,29.98664,-26.30226,2005,1
Breyten,Common robbery,29.98664,-26.30226,2005,1
Breyten,Sexual offences as result of police action,29.98664,-26.30226,2005,0
Breyten,Sexual Offences,29.98664,-26.30226,2005,13
Breyten,Stock-theft,29.98664,-26.30226,2005,26
Breyten,Driving under the influence of alcohol or drugs,29.98664,-26.30226,2005,2
Breyten,Robbery with aggravating circumstances,29.98664,-26.30226,2005,8
Breyten,Burglary at non-residential premises,29.98664,-26.30226,2005,8
Breyten,Malicious damage to property,29.98664,-26.30226,2005,36
Breyten,Assault with the intent to inflict grievous bodily harm,29.98664,-26.30226,2005,77
Breyten,Drug-related crime,29.98664,-26.30226,2005,11
Breyten,Theft of motor vehicle and motorcycle,29.98664,-26.30226,2005,27
Breyten,Robbery of cash in transit,29.98664,-26.30226,2005,0
Breyten,Illegal possession of firearms and ammunition,29.98664,-26.30226,2005,1
Breyten,Burglary at residential premises,29.98664,-26.30226,2005,68
Breyten,Attempted murder,29.98664,-26.30226,2005,1
Breyten,Theft out of or from motor vehicle,29.98664,-26.30226,2005,12
Breyten,Truck hijacking,29.98664,-26.30226,2005,0
Breyten,Robbery at non-residential premises,29.98664,-26.30226,2005,0
Breyten,Murder,29.98664,-26.30226,2005,4
Breyten,Common assault,29.98664,-26.30226,2005,71
Breyten,Bank robbery,29.98664,-26.30226,2005,0
Bushbuckridge,Shoplifting,31.06821,-24.8423,2005,45
Bushbuckridge,Robbery with aggravating circumstances,31.06821,-24.8423,2005,106
Bushbuckridge,Burglary at non-residential premises,31.06821,-24.8423,2005,102
Bushbuckridge,Attempted murder,31.06821,-24.8423,2005,31
Bushbuckridge,Stock-theft,31.06821,-24.8423,2005,6
Bushbuckridge,Malicious damage to property,31.06821,-24.8423,2005,111
Bushbuckridge,Bank robbery,31.06821,-24.8423,2005,0
Bushbuckridge,Theft of motor vehicle and motorcycle,31.06821,-24.8423,2005,22
Bushbuckridge,Robbery at residential premises,31.06821,-24.8423,2005,9
Bushbuckridge,Theft out of or from motor vehicle,31.06821,-24.8423,2005,65
Bushbuckridge,Drug-related crime,31.06821,-24.8423,2005,11
Bushbuckridge,Arson,31.06821,-24.8423,2005,13
Bushbuckridge,Driving under the influence of alcohol or drugs,31.06821,-24.8423,2005,5
Bushbuckridge,Carjacking,31.06821,-24.8423,2005,9
Bushbuckridge,Murder,31.06821,-24.8423,2005,16
Bushbuckridge,Robbery of cash in transit,31.06821,-24.8423,2005,0
Bushbuckridge,Truck hijacking,31.06821,-24.8423,2005,0
Bushbuckridge,Robbery at non-residential premises,31.06821,-24.8423,2005,22
Bushbuckridge,Sexual Offences,31.06821,-24.8423,2005,115
Bushbuckridge,Illegal possession of firearms and ammunition,31.06821,-24.8423,2005,21
Bushbuckridge,Commercial crime,31.06821,-24.8423,2005,24
Bushbuckridge,Sexual offences as result of police action,31.06821,-24.8423,2005,0
Bushbuckridge,Common robbery,31.06821,-24.8423,2005,119
Bushbuckridge,Common assault,31.06821,-24.8423,2005,142
Bushbuckridge,Burglary at residential premises,31.06821,-24.8423,2005,287
Bushbuckridge,All theft not mentioned elsewhere,31.06821,-24.8423,2005,284
Bushbuckridge,Assault with the intent to inflict grievous bodily harm,31.06821,-24.8423,2005,330
Calcutta,Burglary at non-residential premises,31.24385,-24.98705,2005,24
Calcutta,Carjacking,31.24385,-24.98705,2005,6
Calcutta,Commercial crime,31.24385,-24.98705,2005,22
Calcutta,Arson,31.24385,-24.98705,2005,21
Calcutta,Robbery at residential premises,31.24385,-24.98705,2005,20
Calcutta,Murder,31.24385,-24.98705,2005,20
Calcutta,Drug-related crime,31.24385,-24.98705,2005,18
Calcutta,Robbery of cash in transit,31.24385,-24.98705,2005,0
Calcutta,Theft of motor vehicle and motorcycle,31.24385,-24.98705,2005,17
Calcutta,Malicious damage to property,31.24385,-24.98705,2005,122
Calcutta,Sexual Offences,31.24385,-24.98705,2005,124
Calcutta,Driving under the influence of alcohol or drugs,31.24385,-24.98705,2005,1
Calcutta,Common assault,31.24385,-24.98705,2005,91
Calcutta,Bank robbery,31.24385,-24.98705,2005,0
Calcutta,Burglary at residential premises,31.24385,-24.98705,2005,475
Calcutta,All theft not mentioned elsewhere,31.24385,-24.98705,2005,210
Calcutta,Common robbery,31.24385,-24.98705,2005,82
Calcutta,Assault with the intent to inflict grievous bodily harm,31.24385,-24.98705,2005,348
Calcutta,Sexual offences as result of police action,31.24385,-24.98705,2005,0
Calcutta,Truck hijacking,31.24385,-24.98705,2005,0
Calcutta,Theft out of or from motor vehicle,31.24385,-24.98705,2005,28
Calcutta,Shoplifting,31.24385,-24.98705,2005,29
Calcutta,Stock-theft,31.24385,-24.98705,2005,2
Calcutta,Robbery at non-residential premises,31.24385,-24.98705,2005,2
Calcutta,Illegal possession of firearms and ammunition,31.24385,-24.98705,2005,25
Calcutta,Attempted murder,31.24385,-24.98705,2005,37
Calcutta,Robbery with aggravating circumstances,31.24385,-24.98705,2005,186
Carolina,Burglary at residential premises,30.11998,-26.07128,2005,137
Carolina,Robbery of cash in transit,30.11998,-26.07128,2005,0
Carolina,Malicious damage to property,30.11998,-26.07128,2005,49
Carolina,Sexual offences as result of police action,30.11998,-26.07128,2005,0
Carolina,Drug-related crime,30.11998,-26.07128,2005,12
Carolina,All theft not mentioned elsewhere,30.11998,-26.07128,2005,167
Carolina,Common robbery,30.11998,-26.07128,2005,24
Carolina,Commercial crime,30.11998,-26.07128,2005,15
Carolina,Common assault,30.11998,-26.07128,2005,117
Carolina,Bank robbery,30.11998,-26.07128,2005,0
Carolina,Theft of motor vehicle and motorcycle,30.11998,-26.07128,2005,19
Carolina,Shoplifting,30.11998,-26.07128,2005,34
Carolina,Theft out of or from motor vehicle,30.11998,-26.07128,2005,34
Carolina,Robbery with aggravating circumstances,30.11998,-26.07128,2005,26
